objectid,filename,title,description,date,state,county,city,subject,latitude,longitude,physical_description,original_collection,temporal_coverage,format,file_size,resolution,rightsholder,rightsstatement
coll011,coll011.jpg,Cutover land and log fence,"Cutover land with a stump, tall grass, and a log fence.",1937-05,Wisconsin; Michigan,Florence; Iron ,,Cutover lands;slash (logging);logging debris;land use--rural,45.95657,-88.317794,Gelatin silver print; 20.3 x 25.4 cm,Farm Security Administration Photographs,1930-1939;New Deal,image/jpeg,333.3 KB,96 ppi,"From The New York Public Library, https://digitalcollections.nypl.org/items/3ef19dd0-af97-0136-c282-393527604189?canvasIndex=0",http://rightsstatements.org/vocab/NoC-US/1.0/ 
coll012,coll012.jpg,Cutover graveyard,"Small cutover graveyard surrounded by barbed wire fence. Large stones are piled up against the edges of the fence and there's a large field scattered with stumps in the background. In front of the enclosure, earth has been recently dug up, indicating a possible fresh gravesite. ",1937-05,Wisconsin,Florence,Tipler,Cutover lands;land use--rural;cemetaries;graveyards;stumpwood,45.925614,-88.635493,Gelatin silver print; 20.3 x 25.4 cm,Farm Security Administration Photographs,1930-1939;New Deal,image/jpeg,294.7 KB,96 ppi,"From The New York Public Library, https://digitalcollections.nypl.org/items/81446030-af97-0136-a501-5b1d999b4cfa?canvasIndex=0",http://rightsstatements.org/vocab/NoC-US/1.0/ 
coll013,coll013.jpg,"Abandoned farm in Nelma, Wisconsin. ",An abandoned barn stands near a mostly dismanted house. The posts for a fence surround the property and stumps are still in the ground near the barn.,1937-04,Wisconsin,Forest,Nelma,Farm buildings;abandoned farms;land use--rural;farms;stumpwood,46.020095,-88.820525,Gelatin silver print; 20.3 x 25.4 cm,Farm Security Administration Photographs,1930-1939;New Deal,image/jpeg,269.2 KB,96 ppi,"From The New York Public Library, https://digitalcollections.nypl.org/items/921a9990-af96-0136-886e-05bdaef4543a?canvasIndex=0",http://rightsstatements.org/vocab/NoC-US/1.0/ 
coll014,coll014.jpg,Stumps on a hillside along a road,"In the foreground is a dirt road and a fence that runs alongside it. Beyond that, is a hill covered in stumps. The top of the hill has young trees. ",1937-05,Wisconsin,Florence,Tipler,Forests and forestry;logging;lumber;cutover lands;white pine;stumpwood,45.925614,-88.635493,Gelatin silver print; 20.3 x 25.4 cm,Farm Security Administration Photographs,1930-1939;New Deal,image/jpeg,307.3 KB,96 ppi,"From The New York Public Library, https://digitalcollections.nypl.org/items/6910b430-af97-0136-b9e3-2fcca3c14c69?canvasIndex=0",http://rightsstatements.org/vocab/NoC-US/1.0/ 
coll015,coll015.jpg,Stumps and logs,Rotting logs with evidence of burns are strewn along the forest floor among stumps and young trees. ,1927-05,Wisconsin,Forest,,Forests and forestry;logging;lumber;cutover lands;white pine;stumpwood;logging debris;slash (logging);slashburning,45.658676,-88.787421,Gelatin silver print; 20.3 x 25.4 cm,Farm Security Administration Photographs,1930-1939;New Deal,image/jpeg,440.8 KB,96 ppi,"From The New York Public Library, https://digitalcollections.nypl.org/items/57b7c150-af97-0136-928f-19a2dfb6bbf6?canvasIndex=0",http://rightsstatements.org/vocab/NoC-US/1.0/ 
coll016,coll016.jpg,"Abandoned farm in New Lisbon, Wisconsin",Abandoned farm buildings fall apart in the middle of a clear field. The silo is leaning hard to the left. Evidence of shingle and tar-paper roofs.  ,1937-06,Wisconsin,Juneau,New Lisbon,Farm buildings;abandoned farms;farms;land use--rural,43.878177,-90.164548,Gelatin silver print; 20.3 x 25.4 cm,Farm Security Administration Photographs,1930-1939;New Deal,image/jpeg,248.2 KB,96 ppi,"From The New York Public Library, https://digitalcollections.nypl.org/items/770b49f0-fd63-0136-b8d5-07d7f8c46345?canvasIndex=0",http://rightsstatements.org/vocab/NoC-US/1.0/ 
coll017,coll017.jpg,Stump field,"The foreground is filled with stumps still in the ground. There is a break, an open field, and then young pines and other trees in the background. ",1937-04,Wisconsin,Forest,Nelma,Forests and forestry;logging;cutover lands;stumpwood;logging debris;slash (logging),46.020095,-88.820525,Gelatin silver print; 20.3 x 25.4 cm,Farm Security Administration Photographs,1930-1939;New Deal,image/jpeg,336.3 KB,96 ppi,"From The New York Public Library, https://digitalcollections.nypl.org/items/8ae3ee60-af96-0136-5455-0f31d6cf46a7?canvasIndex=0",http://rightsstatements.org/vocab/NoC-US/1.0/ 
coll018,coll018.jpg,Stumps along road in winter,"Hilly land around a dirt road is covered in snow, stumps, and fallen logs.",1937-04,Wisconsin,Forest,,Forests and forestry;logging;cutover lands;stumpwood;logging debris;slash (logging),45.658676,-88.787421,Gelatin silver print; 20.3 x 25.4 cm,Farm Security Administration Photographs,1930-1939;New Deal,image/jpeg,377 KB,96 ppi,"From The New York Public Library, https://digitalcollections.nypl.org/items/88914610-af96-0136-2d32-093aca265418?canvasIndex=0",http://rightsstatements.org/vocab/NoC-US/1.0/ 
coll019,coll019.jpg,Abandoned farm with no tresspassing sign,"Abandoned farm along a dirt road from Tipler to Long Lake, Wisconsin. At the enterance is a simple fence with a ""NO TRESSPASSING ALLOWED"" sign nailed to it.",1937-05,Wisconsin,Florence,Tipler,Farm buildings;abandoned farms;land use--rural;farms;cutover lands;stumpwood,45.925614,-88.635493,Gelatin silver print; 20.3 x 25.4 cm,Farm Security Administration Photographs,1930-1939;New Deal,image/jpeg,271.2 KB,96 ppi,"From The New York Public Library, https://digitalcollections.nypl.org/items/9447bd60-af97-0136-7f39-077ef14d8134?canvasIndex=0",http://rightsstatements.org/vocab/NoC-US/1.0/ 
coll020,coll020.jpg,Wood and tarpaper roof dwelling with a rafter of turkeys,A rafter of turkeys huddle together next to a shed or possible dwelling made from timber and tarpaper.,1937-09,Minnesota,Koochiching,Northome,Cutover lands;land use--rural;farm management--United States;farm buildings;wild turkey,47.871655,-94.278982,Gelatin silver print; 17.8 x 25.4 cm,Farm Security Administration Photographs,1930-1939;New Deal,image/jpeg,385.8 KB,96 ppi,"From The New York Public Library, https://digitalcollections.nypl.org/items/bf0828d0-b5dd-0136-f4e3-09f4b9b606a6?canvasIndex=0",http://rightsstatements.org/vocab/NoC-US/1.0/ 
coll021,coll021.jpg,Tarpaper dwelling in abandoned lumber camp,A dwelling was constructed using tar paper from an abandoned building formly used in a lumber camp.,1937-08,Minnesota,Koochiching,Gemmell,Abandoned buildings;cutover lands;squatters ,47.972713,-94.124982,Gelatin silver print; 20.3 x 25.4 cm,Farm Security Administration Photographs,1930-1939;New Deal,image/jpeg,213 KB,96 ppi,"From The New York Public Library, https://digitalcollections.nypl.org/items/caa36e70-fb33-0136-22d7-4356e3e0b8fa?canvasIndex=0",http://rightsstatements.org/vocab/NoC-US/1.0/ 
coll022,coll022.jpg,White pine logs and stumps in hilly forest,White pine logs and stumps on hills impacted by logging operations. The land is covered with younger pines and other trees. ,1937-04,Michigan,Iron,Gibbs City,Cutover lands;white pine;slash (logging);logging debris;stumpwood,46.224952,-88.701247,Gelatin silver print; 20.3 x 25.4 cm,Farm Security Administration Photographs,1930-1939;New Deal,image/jpeg,552 KB,96 ppi,"From The New York Public Library, https://digitalcollections.nypl.org/items/267de1b0-af97-0136-6386-31f5f4102251?canvasIndex=0",http://rightsstatements.org/vocab/NoC-US/1.0/ 
coll023,coll023.jpg,"Abandoned farm house in Allegan, Michigan",Bushes and viney plants grow around an abandoned farm house.,1935/1942,Michigan,Allegan,Allegan,Farm buildings;abandoned farms;land use--rural,42.528158,-85.8521,Gelatin silver print; 20.3 x 25.4 cm,Farm Security Administration Photographs,1930-1939;New Deal,image/jpeg,421 KB,97 ppi,"From The New York Public Library, https://digitalcollections.nypl.org/items/c7ac6980-fb32-0136-78c2-33327bc920e8?canvasIndex=0",http://rightsstatements.org/vocab/NoC-US/1.0/ 
